Lat Grid,Long Grid,EnodeB Ci,Kel Des,Avg Ue Thput DL (Mbps),Total Samples
-6.220833,106.895026,440885_1,CIPINANG MUARA,2.321333333,3
-6.32414,106.827653,440884_2,JAGAKARSA,2.563272727,11
-6.32414,106.814178,440884_2,JAGAKARSA,1.086784314,51
-6.346597,106.805195,440884_2,CIPEDAK,0.715642857,14
-6.351089,106.863585,440875_3,PEKAYON,2.891,8
-6.355581,106.863585,440875_3,PEKAYON,1.488857143,21
-6.234308,106.836636,440797_24,MENTENG DALAM,2.890333333,9
-6.261257,106.895026,440765_8,HALIM PERDANA KUSUMAH,2.144615385,26
-6.247783,106.868077,440754_3,CAWANG,1.177333333,3
-6.135493,106.895026,440751_3,RAWA BADAK SELATAN,1.027,2
-6.270241,106.90401,440706_9,HALIM PERDANA KUSUMAH,1.809,1
-6.337614,106.805195,440620_6,CIGANJUR,1.245333333,3
-6.328631,106.805195,440620_3,CIGANJUR,2.39,1
-6.234308,106.836636,440590_6,MENTENG DALAM,2.890333333,9
-6.234308,106.836636,440590_5,MENTENG DALAM,2.890333333,9
-6.234308,106.836636,440590_4,MENTENG DALAM,2.890333333,9
-6.355581,106.823161,440495_5,SRENGSENG SAWAH,0.5095,2
-6.355581,106.823161,440495_2,SRENGSENG SAWAH,0.5095,2
-6.234308,106.836636,440237_5,MENTENG DALAM,2.890333333,9
-6.234308,106.823161,440210_2,KUNINGAN BARAT,2.487,4
-6.351089,106.827653,440205_1,SRENGSENG SAWAH,1.195,1
-6.207359,106.728838,440191_3,MERUYA SELATAN,0.745,1
-6.328631,106.854602,440143_3,BARU,0.624,1
-6.265749,106.899518,440045_1,HALIM PERDANA KUSUMAH,0.113,1
-6.306173,106.787229,431060_3,LEBAK BULUS,2.387,1
-6.2388,106.751296,431000_2,PETUKANGAN SELATAN,2.384,3
-6.234308,106.836636,430949_3,MENTENG DALAM,2.890333333,9
-6.252274,106.836636,430949_3,DUREN TIGA,2.446,1
-6.216342,106.742313,430567_9,JOGLO,2.819,1
-6.292699,106.773754,430533_3,LEBAK BULUS,2.278,1
-6.279224,106.823161,430233_6,RAGUNAN,2.365,1
-6.274732,106.809686,430233_4,CIPETE SELATAN,1.8942,5
-6.2388,106.755788,430120_1,PETUKANGAN SELATAN,0.254,1
-6.310665,106.782737,430085_19,LEBAK BULUS,1.444,1
-6.225325,106.823161,430074_3,KARET KUNINGAN,2.518747826,115
-6.234308,106.836636,430034_1,MENTENG DALAM,2.890333333,9
-6.234308,106.836636,430003_8,MENTENG DALAM,2.890333333,9
-6.234308,106.836636,430003_5,MENTENG DALAM,2.890333333,9
-6.193884,106.728838,421345_2,MERUYA UTARA,1.877555556,9
-6.135493,106.773754,421344_3,KAPUK MUARA,2.629,41
-6.131002,106.769262,421344_3,KAPUK MUARA,0.012,1
-6.139985,106.769262,421344_3,KAPUK MUARA,2.377129808,208
-6.099561,106.79172,421339_19,PLUIT,2.346,2
-6.148968,106.755788,421299_24,KEDAUNG KALI ANGKE,2.958,1
-6.139985,106.809686,421279_2,ROA MALAKA,1.971090909,11
-6.189392,106.796212,420993_37,KEMANGGISAN,2.36075,4
-6.202867,106.737821,420980_3,MERUYA UTARA,0.467,1
-6.113035,106.746804,420980_2,KAMAL MUARA,2.921766667,30
-6.122019,106.81867,420937_3,ANCOL,2.166538462,13
-6.171426,106.755788,420929_2,KEDOYA UTARA,2.96475,4
-6.175918,106.764771,420929_1,KEDOYA UTARA,2.343666667,3
-6.12651,106.769262,420908_17,KAPUK MUARA,2.047,1
-6.207359,106.841127,420893_12,PASAR MANGGIS,0.657,1
-6.12651,106.773754,420691_5,KAPUK MUARA,1.989,1
-6.12651,106.787229,420666_7,PENJARINGAN,2.20139798,495
-6.131002,106.787229,420666_7,PENJARINGAN,2.721322581,31
-6.131002,106.787229,420666_1,PENJARINGAN,2.721322581,31
-6.12651,106.782737,420666_1,PEJAGALAN,1.831177419,62
-6.162443,106.805195,420459_8,DURI PULO,1.105,3
-6.162443,106.814178,420459_2,PETOJO UTARA,2.63556,50
-6.117527,106.760279,420452_9,KAPUK MUARA,0.363,1
-6.162443,106.796212,420345_9,GROGOL,1.9415,4
-6.162443,106.805195,420345_9,DURI PULO,1.105,3
-6.131002,106.926467,420345_8,SEMPER BARAT,2.805142857,7
-6.189392,106.796212,420345_8,KEMANGGISAN,2.36075,4
-6.131002,106.926467,420345_7,SEMPER BARAT,2.805142857,7
-6.184901,106.79172,420345_7,KEMANGGISAN,2.9264,5
-6.184901,106.79172,420345_5,KEMANGGISAN,2.9264,5
-6.166934,106.809686,420345_3,CIDENG,1.59152439,82
-6.171426,106.809686,420345_3,CIDENG,1.587708333,24
-6.175918,106.809686,420345_3,CIDENG,2.558458763,194
-6.166934,106.805195,420345_3,CIDENG,2.914,15
-6.189392,106.805195,420345_2,SLIPI,2.971461883,223
-6.193884,106.800703,420345_2,SLIPI,2.652,6
-6.189392,106.809686,420345_2,PETAMBURAN,2.96725,8
-6.189392,106.796212,420345_2,KEMANGGISAN,2.36075,4
-6.198375,106.796212,420345_2,KEMANGGISAN,0.883,1
-6.157951,106.800703,420345_1,KALI ANYAR,2.841,1
-6.171426,106.769262,420317_6,DURI KEPA,1.561,1
-6.175918,106.755788,420291_9,KEDOYA SELATAN,1.192,1
-6.175918,106.764771,420291_5,KEDOYA UTARA,2.343666667,3
-6.175918,106.764771,420291_4,KEDOYA UTARA,2.343666667,3
-6.157951,106.778245,420291_2,WIJAYA KUSUMA,2.148,3
-6.157951,106.760279,420291_1,KEDAUNG KALI ANGKE,2.9328,20
-6.157951,106.755788,420291_1,KEDAUNG KALI ANGKE,0.783,2
-6.162443,106.746804,420219_3,RAWA BUAYA,0.484,1
-6.162443,106.742313,420219_3,RAWA BUAYA,1.4825,12
-6.166934,106.742313,420219_3,KEMBANGAN UTARA,0.544,1
-6.171426,106.742313,420219_3,KEMBANGAN UTARA,0.345,1
-6.171426,106.737821,420219_3,KEMBANGAN UTARA,0.212,1
-6.171426,106.796212,420136_5,TOMANG,1.4695,2
-6.171426,106.796212,420136_4,TOMANG,1.4695,2
-6.189392,106.796212,420118_7,KEMANGGISAN,2.36075,4
-6.171426,106.814178,420073_8,PETOJO SELATAN,1.97,1
-6.171426,106.728838,420054_7,RAWA BUAYA,2.000551724,29
-6.15346,106.724346,420054_1,CENGKARENG BARAT,2.019117647,17
-6.189392,106.841127,420007_8,KENARI,2.247,3
-6.189392,106.841127,420007_2,KENARI,2.247,3
-6.207359,106.87706,411153_5,PISANGAN TIMUR,2.584268041,194
-6.108544,106.868077,411103_11,ANCOL,0.164512821,39
-6.117527,106.872569,411103_6,TANJUNG PRIOK,1.632731092,238
-6.135493,106.895026,411092_9,RAWA BADAK SELATAN,1.027,2
-6.135493,106.912993,411092_1,TUGU SELATAN,2.387222222,9
-6.131002,106.926467,411086_27,SEMPER BARAT,2.805142857,7
-6.135493,106.930959,411081_14,SEMPER BARAT,2.177,1
-6.131002,106.926467,411081_11,SEMPER BARAT,2.805142857,7
-6.15346,106.935451,411081_1,SUKAPURA,2.812666667,3
-6.139985,106.944434,411036_9,ROROTAN,0.884,1
-6.104052,106.87706,411011_19,TANJUNG PRIOK,2.646,6
-6.15346,106.921976,410975_3,SUKAPURA,2.669166667,6
-6.135493,106.935451,410865_3,SEMPER TIMUR,2.2195,2
-6.15346,106.935451,410857_7,SUKAPURA,2.812666667,3
-6.21185,106.895026,410664_2,CIPINANG,1.5438,5
-6.162443,106.805195,410608_2,DURI PULO,1.105,3
-6.144476,106.845619,410575_8,PADEMANGAN TIMUR,2.828589311,1422
-6.131002,106.926467,410488_8,SEMPER BARAT,2.805142857,7
-6.135493,106.935451,410488_5,SEMPER TIMUR,2.2195,2
-6.131002,106.926467,410488_5,SEMPER BARAT,2.805142857,7
-6.131002,106.926467,410443_6,SEMPER BARAT,2.805142857,7
-6.189392,106.841127,410367_3,KENARI,2.247,3
-6.166934,106.868077,410351_2,CEMPAKA BARU,1.009,1
-6.144476,106.926467,410243_8,SUKAPURA,0.4,1
-6.099561,106.800703,410230_3,PENJARINGAN,0.027666667,3
-6.135493,106.921976,410115_3,SEMPER BARAT,1.736,2
-6.135493,106.921976,410115_2,SEMPER BARAT,1.736,2
-6.15346,106.935451,410041_2,SUKAPURA,2.812666667,3
-6.139985,106.917484,410039_4,SUKAPURA,1.094333333,3
-6.144476,106.895026,410039_3,KELAPA GADING BARAT,2.658969697,33
